Cost,Time,Env,Multiplier,Threshold_Label
15311.196031704938,114.0,645455.1135412549,1.25,1.25x ($A=1.2M$)
15160.625206474793,116.0,328349.7098947483,1.25,1.25x ($A=1.2M$)
15370.543783225336,113.0,1448974.4374732852,1.25,1.25x ($A=1.2M$)
14323.678515563786,117.0,2111783.2150460156,1.25,1.25x ($A=1.2M$)
16039.136592907978,109.0,2480274.5336643397,1.25,1.25x ($A=1.2M$)
14536.276027643593,117.0,531851.701020491,1.25,1.25x ($A=1.2M$)
14866.748857383182,115.0,1217355.5735016526,1.25,1.25x ($A=1.2M$)
14768.433738805761,116.0,836779.0682986465,1.25,1.25x ($A=1.2M$)
14109.836854391337,123.0,37917.42760179248,1.25,1.25x ($A=1.2M$)
13766.004498038514,121.0,564079.8139444799,1.25,1.25x ($A=1.2M$)
14536.321134113223,118.0,325507.17296287534,1.25,1.25x ($A=1.2M$)
12967.510021179949,127.0,5.75199126013768,1.25,1.25x ($A=1.2M$)
14100.719765195738,120.0,210412.92572719918,1.25,1.25x ($A=1.2M$)
15058.209481831556,114.0,2171510.5388427665,1.25,1.25x ($A=1.2M$)
16108.055873032245,110.0,1654365.8154371905,1.25,1.25x ($A=1.2M$)
12580.230187864427,129.0,5.7380617658139315,1.25,1.25x ($A=1.2M$)
16216.75038820422,109.0,1893993.412008864,1.25,1.25x ($A=1.2M$)
13742.259845964538,121.0,875784.9122907075,1.25,1.25x ($A=1.2M$)
13919.87027609027,123.0,66695.19802884111,1.25,1.25x ($A=1.2M$)
13816.847204931068,124.0,66697.78754709956,1.25,1.25x ($A=1.2M$)
13065.525216052258,126.0,134164.64514235716,1.25,1.25x ($A=1.2M$)
13482.442994100395,124.0,98602.68344382034,1.25,1.25x ($A=1.2M$)
14027.329159949482,119.0,768793.3241252882,1.25,1.25x ($A=1.2M$)
12729.791435148421,128.0,5.804315381321975,1.25,1.25x ($A=1.2M$)
15419.777522814049,112.0,2090378.7976467432,1.25,1.25x ($A=1.2M$)
14017.715466142115,120.0,860112.9653688734,1.25,1.25x ($A=1.2M$)
15221.000041744439,113.0,2490386.238136685,1.25,1.25x ($A=1.2M$)
14266.130344945239,119.0,445963.74508332624,1.25,1.25x ($A=1.2M$)
13207.582248797105,126.0,5.755933257349799,1.25,1.25x ($A=1.2M$)
13389.569245498373,123.0,293521.207026,1.25,1.25x ($A=1.2M$)
13121.21016121024,125.0,75517.75832377424,1.25,1.25x ($A=1.2M$)
14951.088386154684,115.0,1134276.6275661667,1.25,1.25x ($A=1.2M$)
15856.69342041739,110.0,2429434.3650842165,1.25,1.25x ($A=1.2M$)
15050.354680465216,118.0,5.6177510257673156,1.25,1.25x ($A=1.2M$)
12717.661356423154,128.0,124179.8693478984,1.25,1.25x ($A=1.2M$)
15509.077457036072,112.0,1507407.9832053483,1.25,1.25x ($A=1.2M$)
16167.06623533089,109.0,1991074.0965171747,1.25,1.25x ($A=1.2M$)
13142.688933180654,127.0,5.72371722364562,1.25,1.25x ($A=1.2M$)
14434.572488762396,118.0,457405.52927847294,1.25,1.25x ($A=1.2M$)
12677.530398657824,129.0,5.670665216528097,1.25,1.25x ($A=1.2M$)
12667.173515587174,128.0,637216.9960309525,1.25,1.25x ($A=1.2M$)
14759.576556767795,115.0,1988615.1735841364,1.25,1.25x ($A=1.2M$)
15274.649840879501,114.0,1102981.646384881,1.25,1.25x ($A=1.2M$)
